subj,prop,bucket,subject_num_chunks,step,exposures,gold_logprob,max_decoy_logprob,correct
If I Ever,genre,low,1,109672,1,-5.508769512176514,-4.4502339363098145,False
Mobile Home,genre,low,3,0,0,-12.191757202148438,-10.801542282104492,False
Mobile Home,genre,low,3,10000,0,-5.615699768066406,-3.929136276245117,False
Mobile Home,genre,low,3,20000,1,-5.717826843261719,-4.576817512512207,False
Mobile Home,genre,low,3,30000,1,-4.719671726226807,-3.8793561458587646,False
Mobile Home,genre,low,3,40000,1,-3.781111717224121,-4.438136577606201,True
Mobile Home,genre,low,3,50000,1,-4.807645320892334,-4.552032947540283,False
Mobile Home,genre,low,3,60000,1,-4.360843181610107,-4.738454341888428,True
Mobile Home,genre,low,3,70000,1,-4.430912494659424,-5.545313358306885,True
Mobile Home,genre,low,3,80000,1,-4.134405136108398,-4.279134750366211,True
Mobile Home,genre,low,3,90000,2,-4.3746466636657715,-5.054123878479004,True
Mobile Home,genre,low,3,100000,3,-4.547342777252197,-5.07927131652832,True
Mobile Home,genre,low,3,109672,3,-4.772400379180908,-5.525079250335693,True
Le Mentor,director,low,1,0,0,-11.706960678100586,-11.727289199829102,True
Le Mentor,director,low,1,10000,1,-4.338518142700195,-4.5996880531311035,True
Le Mentor,director,low,1,20000,1,-3.391380786895752,-4.802196979522705,True
Le Mentor,director,low,1,30000,1,-4.683582305908203,-5.092012405395508,True
Le Mentor,director,low,1,40000,1,-5.027586936950684,-4.753067493438721,False
Le Mentor,director,low,1,50000,1,-4.100384712219238,-4.1972503662109375,True
Le Mentor,director,low,1,60000,1,-3.94024395942688,-4.413516998291016,True
Le Mentor,director,low,1,70000,1,-3.2505478858947754,-4.315858364105225,True
Le Mentor,director,low,1,80000,1,-3.277940034866333,-4.392456531524658,True
Le Mentor,director,low,1,90000,1,-2.3339133262634277,-4.345442771911621,True
Le Mentor,director,low,1,100000,1,-2.289138078689575,-4.616802215576172,True
Le Mentor,director,low,1,109672,1,-3.3007335662841797,-4.095849990844727,True
In Your Eyes,screenwriter,low,5,0,0,-11.670088768005371,-11.544992446899414,False
In Your Eyes,screenwriter,low,5,10000,1,-2.3009135723114014,-5.102973937988281,True
